id,title,image_link,country,years,director_description,leader,star,description,tags,imdb,language,time_length,Unnamed: 13
409,Princess Grace of Monaco,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2185958530.jpg,France / United States / Belgium / Italy / Switzerland,2014-06-20(中国大陆),Olivier Dahan,"['Nicole Kidman', 'Paz Vega', 'Milo Ventimiglia', 'Tim Roth', 'Parker Posey', 'Geraldine Somerville', 'Derek Jacobi', 'Frank Langella', 'Roger Ashton-Griffith', 'Nicolas Farrell', 'Robert Lindsay', 'Olivier Redburgin', 'Jeanne Balibar']",6.8,"In 1962, Grace (Nicole Kidman) has been married for six years. Her smile has become a classic image of a princess in the 20th century, but at this time, she is trying to reconcile her past with her present. She is eager to return to the big screen, but is hesitant because she currently has three roles - mother of two children, princess of a European principality, and wife of Rainier III (Tim Roth).
                                        
                                    Hitchcock (Roger Ashton-Griffiths) suggested that she return to Hollywood, a suggestion that troubled Grace. At that time, her husband Rainier's modernization reform measures were resisted by French President de Gaulle. De Gaulle wanted to impose heavy taxes on Monaco and promoted force to ensure the implementation of this measure.
                                        
                                    The growing international crisis and the imminent invasion of France are not only a crisis for Grace's family, marriage, and country, but also a crisis for her personal life. This is the moment when a screen star who is far away from his hometown in the United States has to make a difficult decision: whether to return to being the big star with global attention and millions of movie fans, or...",Drama/Romance/Biography,https://www.imdb.com/title/tt2095649,English / French / Italian,103分钟,
410,Murder Manga 더 웹툰 : 예고살인,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1980106659.jpg,South Korea,2013-06-27(韩国),Jin Rongjun,"['Um Ki-joon', 'Lee Si-young', 'Kim Hyun-woo', 'Oh Kwang-rok']",7.2,"Popular online horror comic writer Kang Ji-yoon (played by Lee Si-young) has released new works one after another and has been highly praised. In her life, she seems to be increasingly unable to distinguish between reality and illusion. Not only does she often encounter extremely realistic horror nightmares, but she also often suffers from inexplicable wounds on her body. One night, Writer Jiang's editor-in-chief Xu Meizhen committed suicide in an extremely cruel way. The death process and the tragic scene were exactly the same as the content of the new work that Writer Jiang had just sent to her. Not long after, another murder in a funeral home similar to the comic content occurred. Bundang Police Department detective Qi Zhe (played by Um Ki-joon) and his junior Kim Yong-soo (played by Kim Hyun-woo) intervened in the investigation, and gradually traced the little-known background of Writer Kang.
                                    
                                Under the neon lights, there are ghosts and shadows. Everyone has secrets in their hearts that they don’t want others to know. Every wrong has its owner, and every debt has its owner. Karma, no regrets at all...",Suspense/Thriller/Crime,https://www.imdb.com/title/tt2973516,Korean,104分钟,
411,Blood Guanyin Blood Guanyin,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561016941.jpg,"Taiwan, China",2017-11-24(中国台湾),Yang Yazhe,"['Hui Yinghong', 'Wu Kexi', 'Wen Qi', 'Ke Jiayan', 'Chen Sally', 'Ding Qiang', 'Liu Shangqian', 'Lin Zhiru', 'Wang Yue', 'Wen Zhenling', 'Wang Weiliu', 'Chen Peiqi', 'Yin Zhaode', 'Okubo Mariko', 'Wu Shuwei', 'Yan Yulin', 'Liu Yueti', 'Fu Zichun', 'Chen Wukang', 'Shi Mingshuai', 'Xiulan Maya', 'Ying Weimin', 'Li Quan']",8.4,"""Blood Guanyin"" describes that in the Tang Mansion composed of women, there live three women of different generations but who all understand people's hearts. Mrs. Tang (played by Hui Yinghong) presides over the overall situation, shuttles among the rich and powerful, and relies on her superb skills and supple figure to survive. Survive and profit in the complex political and business relationships; the eldest daughter Tang Ning (played by Wu Kexi), who has a personality like a hedgehog, tries her best to cooperate in order to seek approval from her mother; the well-behaved younger daughter Tang Zhen (played by Wen Qi) mostly observes quietly and obeys her mother's orders. Until one day, a close friend of the Tang family was brutally exterminated, and the three of them were each involved. Mrs. Tang, who always put the overall situation first, tried her best to protect everything, but the three of them went to different fates.",Drama/Suspense,https://www.imdb.com/title/tt7479784,Chinese Mandarin / Cantonese / Hokkien / Japanese,112分钟,
412,Blue Jasmine Blue Jasmine,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1978807112.jpg,USA,2013-08-23(美国),woody allen,"['Cate Blanchett', 'Sally Hawkins', 'Alec Baldwin', 'Andrew Dice Clay', 'Bobby Cannavale', 'Louis C.K', 'Peter Sarsgaard', 'Alden Ehrenreich', 'Michael Stuhlbarg']",8.0,"Jasmine's (Cate Blanchett) husband Hal was arrested for commercial fraud and ended his life in prison. She was so destitute that she could only leave New York and come to San Francisco to join her sister Ginger (Sally Hawkins). Instantly returning from a life of spending money to the world of ordinary people, Jasmine suffered a mental breakdown. She often talked to herself and was immersed in memories of the past, and was incompatible with the people around her. She doesn't like Ginger's ex-husband Aguie, and she doesn't like Ginger's current boyfriend Chill. Jasmine found a job at a dentist's office and went back to school, but her life was still in turmoil. Until she met a civil servant at a party. He was funny, handsome and rich, and he quickly won Jasmine's heart. Jasmine's life seems to be back on track. Just when they are about to buy a wedding ring, the appearance of Ginger's ex-husband Augie makes her world dark again...",Drama/Family,https://www.imdb.com/title/tt2334873,English,98分钟,
413,Journey to the West: The Return of the Great Sage,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2255028780.jpg,Chinese mainland,2015-07-10(中国大陆),Tian Xiaopeng,"['Zhang Lei', 'Lin Zijie', 'Wu Wenlun', 'Tong Zirong', 'Liu Jiurong', 'Wu Di', 'Liu Beichen', 'Zhao Qianjing', 'Zhou Shuai']",8.3,"Five hundred years ago, the Monkey King Sun Wukong (voiced by Zhang Lei), who was transformed from a stone monkey, caused trouble in the Heavenly Palace, and was finally suppressed by Tathagata Buddha under the Five Elements Mountain. Years later, the city of Chang'an was suddenly ransacked by mountain monsters, and boys and girls cried out again and again, hanging on by a thread. At a critical moment, Jiang Liuer (voiced by Lin Zijie), who was raised by the walking monk Faming (voiced by Wu Wenlun) since childhood, rescued a little girl, but was chased by a mountain demon. After a chase, Jiang Liuer unintentionally lifted Sun Wukong's seal, and the Monkey King naturally taught the mountain demon a good lesson. Because the seal was not released, Wukong had to escort Jiang Liu'er and the little girl back to Chang'an, and encountered Zhu Bajie (voiced by Liu Jiurong) and Bai Longma along the way.
                                    
                                At the same time, the Demon King (voiced by Tong Zirong) is never willing to fail. He hides in the dark, waiting for the opportunity to give Monkey King and his party a fatal blow...",Drama/Animation/Fantasy,https://www.imdb.com/title/tt4644382,Chinese Mandarin / Cantonese,89分钟,
414,witch 마녀,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2524056711.jpg,South Korea,2018-06-27(韩国),Park Hoon Jung,"['Kim Da Mi', 'Jo Min Soo', 'Park Hee Soon', 'Choi Woo Shik', 'Go Min Si', 'Oh Mi Hee', 'Choi Jung Woo', 'Da Eun', 'Kim Byung Ok', 'Lee Joo Won', 'Kim Ha Na', 'Lee Ki Young', 'Kwon Tae Won', 'Lee Si Hoon', 'Baek Seung Cheol', 'Yuan Min Gyu', 'Kim Jong Hoon', 'Seo Han Kyul']",7.6,"The movie tells the story of Zi Yun, an amnesiac girl who survived a strange accident 10 years ago and grew up under the care of an old couple. In order to supplement her family's income, Ziyun participated in a certain TV show, but what she didn't expect was that just after the show was broadcast, all kinds of strange people began to appear in front of her...",Action/Suspense,https://www.imdb.com/title/tt8574252,Korean,125分钟,
415,Noah's Ark: Journey to Creation Noah,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2169342617.jpg,USA,2014-03-10(墨西哥首映),Darren Aronofsky,"['Russell Crowe', 'Jennifer Connelly', 'Ray Winston', 'Anthony Hopkins', 'Emma Watson', 'Logan Lerman', 'Douglas Booth', 'Nick Nolte', 'Mark Margolis', 'Kevin Duran', 'Leo McHugh Carroll', 'Marton Cocks', 'Finn Wittrock', 'Madison Davenport', 'Gavin Casaleño', 'Nolan Gross', 'Skylar Burke', 'Dakota Goyo', 'Ariana Reinhart', 'Adam Griffiths', 'Sophie Nevid', 'Don Harvey', 'Sammy Gale', 'Barry Sloan', 'Frank Langella']",5.8,"""Noah's Ark"" is adapted from Bible stories. Darren Elenovsky personally created scripts and comics of the same name. This is a world without hope, without rain or food, where warlords and barbaric nomadic tribes rule everything. Noah is a good person in this cruel world, a battle-hardened warrior, mage and healer. He just wants to live a peaceful life with his family. However, every night he is tortured by a nightmare, in which the whole world is swallowed up by a huge flood. As time passed, he realized that this was the signal given to him by the Creator. God was going to punish mankind and kill them all... but he gave Noah a chance to preserve species on the earth.",Action/Adventure/Disaster,https://www.imdb.com/title/tt1959490,English,138分钟,
416,The Great Gatsby The Great Gatsby,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2091221628.jpg,Australia / United States,2013-08-30(中国大陆),Baz Luhrmann,"['Leonardo DiCaprio', 'Carey Mulligan', 'Tobey Maguire', 'Isla Fisher', 'Joel Edgerton', 'Karan McAuliffe', 'Amitabh Bachchan', 'Jason Clarke', 'Elizabeth Debicki', 'Gemma Ward']",7.9,"In the spring of 1922, writer Nick (Tobey Maguire) left his hometown with full hope and came to the emerging city of New York with the gold rush. Although jazz here was popular and stocks were soaring, the rich and the poor were polarized, and people indulged in drunkenness and money. In order to pursue the American dream, Nick gave up writing and entered the stock market. He moved to the bay near New York and became the neighbor of the mysterious rich Gatsby (Leonardo DiCaprio). On the other side of the bay live Nick's cousin Daisy (Carey Mulligan) and her aristocratic husband Tom (Joel Edgerton). Nick is not only invited to the banquet, but Tom also takes him to find his mistress for fun. Nick gradually gets lost in this world full of charm, illusions, love and lies created by the rich.
                                        
                                    But only Gatsby is the most special. He is the only person who makes Nick feel full of hope in this lost city. Nick was invited to the feast in Gatsby's mansion and discovered the secret in Gatsby's heart. It turned out...",Drama/Romance,https://www.imdb.com/title/tt1343092,English / French,143分钟(美国),
417,Vicious Series Finale,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2509440210.jpg,U.K.,2016-06-19(美国),Ed Bye,"['Ian McKellen', 'Derek Jacoby', 'Frances de la Toit', 'Iwan Ryan', 'Marcia Warren', 'Philip Worth', 'Eileen Atkins', 'Frances Barbey', 'Alistair Brammer', 'Richard Gad']",9.4,"A one-off special has been confirmed by ITV and is expected to air in 2016, with the episode being recorded on Tuesday 22nd and Wednesday 23rd December 2015. It will be the show's final episode.",comedy/homosexual,https://www.imdb.com/title/tt5364868,English,47分钟,
418,Brooklyn Brooklyn,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2266027536.jpg,UK/Canada/Ireland,2015-01-26(圣丹斯电影节),John Crowley,"['Saoirse Ronan', 'Domhnall Gleeson', 'Emory Cohen', 'Jim Broadbent', 'Julie Waters', 'Emily Richards', 'Michael Zegen', 'Paulino Nunes', 'Nora Jane Noon', 'Erica Rosenbaum', 'Jay Murray', 'Eve McKellen', 'Anne nee Murray', 'Ted McMahon', 'Jessica Pare', 'Fiona Glascott', 'Breed Brennan', 'Eileen O'Higgins', 'Peter Campion', 'Eva Persisto']",7.8,"Alice (played by Saoirse Ronan) left her hometown, mother and sister, and went to the United States to find more opportunities and a broader future. With the help of Father Fred (Jim Broadbent), Alice became a saleswoman. Her outstanding performance and unremitting efforts allowed her to successfully gain the recognition and affirmation of her supervisor, Fortini (Jessica Paré). Afterwards, Alice met a boy named Tony (played by Emory Cohen), and a spark of love sparked between the two.
                                    
                                An accident brought Alice back to her hometown. Soon, her mother's various actions made her realize that her mother wanted her to stay here and stay by her side. Under the introduction of her mother, Alice met the kind-hearted Jim (Domhnall Gleeson) and got a good job opportunity. Standing at the crossroads of life, what choice would Alice make?",Drama/Romance,https://www.imdb.com/title/tt2381111,English,111分钟(英国),
